,ID,Sex,Age,ModesOfTravel,TravelMotives,Margins,Periods,StagesPerPersonPerDayAverage_1,DistanceTravelledPerStageAverage_2
40326,40326,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,1999,0.03,18.65
40327,40327,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2000,0.03,18.6
40328,40328,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2001,0.02,18.3
40329,40329,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2002,0.02,18.27
40330,40330,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2003,0.02,18.36
40331,40331,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2004,0.02,18.28
40332,40332,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2005,0.02,18.53
40333,40333,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2006,0.02,18.53
40334,40334,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2007,0.02,18.36
40335,40335,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2008,0.02,18.16
40336,40336,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2009,0.02,18.26
40337,40337,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2010,0.02,17.97
40338,40338,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2011,0.01,18.15
40339,40339,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2012,0.01,17.84
40340,40340,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2013,0.01,17.91
40341,40341,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2014,0.01,17.91
40342,40342,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2015,0.01,17.95
40343,40343,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2016,0.01,17.59
40344,40344,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2017,0.01,17.37
40345,40345,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2018,0.01,17.25
40346,40346,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Value,2019,0.01,17.19
40348,40348,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,1999,0.02,14.34
40349,40349,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2000,0.02,14.59
40350,40350,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2001,0.01,14.4
40351,40351,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2002,0.01,14.73
40352,40352,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2003,0.01,14.95
40353,40353,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2004,0.01,14.83
40354,40354,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2005,0.01,15.28
40355,40355,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2006,0.01,15.19
40356,40356,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2007,0.01,15.45
40357,40357,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2008,0.01,15.36
40358,40358,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2009,0.01,15.55
40359,40359,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2010,0.01,15.29
40360,40360,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2011,0.01,15.37
40361,40361,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2012,0.01,15.23
40362,40362,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2013,0.01,15.09
40363,40363,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2014,0.01,15.03
40364,40364,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2015,0.01,15.12
40365,40365,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2016,0.01,14.66
40366,40366,Male,12 to 17 years,Car as passenger,"Travel to/from work, (non)-daily commute",Lower bound 95% confidence interval,2017,0.01,14.3
